hotel_name,hotel_cityname,hotel_countryname,hotel_starrating,hotel_price,hotel_amenities,hotel_description
Oxygen Resorts Ooty,Ooty,India,4.0,"5,063","Doctor on Call,Free Wi-Fi,Restaurant","This 3 Star Resort in Ooty is located in Thalayathimund . Full Address of property is Opp South Wick. Ooty-Coonoor Road, Ooty (View On Map). This Resort have 4 Out of 5 Rating where 4.3 /5 for Cleanliness & 4.6 /5 for Hospitality & 4.3 /5 for Food . Key amenities of this property are Doctor on Call & Free Wi-Fi & Restaurant ."
YLOO RETREAT Ooty,Ooty,India,4.4,"1,128","Doctor on Call,Free Wi-Fi,Free Parking","Location of the Hotel is Near Botanical Garden View On Map ( YLOO RETREAT 301G, OTTLEY ROAD, MADHUVANA BUS STOP, BOTANICAL GARDEN ROAD, OOTY-643 002. ). Top Facilities of this Hotel are Doctor on Call & Free Wi-Fi & Free Parking ."
Kodai Resort Hotel,Kodaikanal,India,4.2,"2,346","Doctor on Call,Free Wi-Fi,Free Parking","This 4 Star Resort in Kodaikanal is located in Near Kodaikanal Lake . Full Address of property is Noyce Road, Coaker's Walk, Kodaikanal - 624103 (View On Map). This Resort have 4.2 Out of 5 Rating where 4.3 /5 for Cleanliness & 4.6 /5 for Location & 4.3 /5 for Hospitality . Key amenities of this property are Doctor on Call & Free Wi-Fi & Free Parking ."
Sterling Kodai Lake,Kodaikanal,India,4.3,"3,215","Outdoor Sports,Restaurant,Conference Room","Location of the Resort is Near Kodaikanal Lake View On Map ( 44, Gymkhana Road, Lake View, Kodaikanal ). It’s a 4 Star Resort with overall Rating 4.3 Out of 5 where 4.2 /5 for Cleanliness & 4.3 /5 for Child friendliness & 4.3 /5 for Location . Top Facilities of this Resort are Outdoor Sports & Restaurant & Conference Room ."
Altius Nest,Kodaikanal,India,4.1,"2,918","Doctor on Call,Free Wi-Fi,Free Parking","This 3 Star Hotel in Kodaikanal is located in Convent Road . Full Address of property is Edistone Compound, Convent Road, Kodaikanal, Tamil Nadu- 624101 (View On Map). This Hotel have 4.1 Out of 5 Rating where 4.3 /5 for Cleanliness & 4.4 /5 for Room & 4.4 /5 for Hospitality . Key amenities of this property are Doctor on Call & Free Wi-Fi & Free Parking ."
The Carlton,Kodaikanal,India,4.6,"5,805","Doctor on Call,Free Wi-Fi,Free Parking","Location of the Hotel is Near Kodaikanal Lake View On Map ( Lake Road, Kodaikanal ). It’s a 5 Star Hotel with overall Rating 4.6 Out of 5 where 4.6 /5 for Cleanliness & 4.8 /5 for Location & 4.7 /5 for Child friendliness . Top Facilities of this Hotel are Doctor on Call & Free Wi-Fi & Free Parking ."
Hotel Kodai International,Kodaikanal,India,4.2,"2,999","Doctor on Call,Free Parking,Outdoor Sports","This 4 Star Resort in Kodaikanal is located in Near Kodaikanal Lake . Full Address of property is Unit of ESTEJI Hotels Private Ltd, 17/328, Lawsghat Road, (View On Map). This Resort have 4.2 Out of 5 Rating where 4.2 /5 for Cleanliness & 4.6 /5 for Security & 4.5 /5 for Child friendliness . Key amenities of this property are Doctor on Call & Free Parking & Outdoor Sports ."
Hilltop Towers,Kodaikanal,India,4.1,"1,920","Doctor on Call,Free Wi-Fi,Free Parking","Location of the Hotel is Near Kodaikanal Lake View On Map ( Hilltop Towers ,Club road,Kodaikanal ). It’s a 3 Star Hotel with overall Rating 4.1 Out of 5 where 4.3 /5 for Cleanliness & 4.7 /5 for Location & 4.5 /5 for Hospitality . Top Facilities of this Hotel are Doctor on Call & Free Wi-Fi & Free Parking ."
GReaT trails Kodaikanal by GRT Hotels,Kodaikanal,India,4.5,"4,921","Doctor on Call,Restaurant,Room Service","Full Address of property is Bharathi Nagar, Vilpatti (View On Map). This Resort have 4.5 Out of 5 Rating where 4.6 /5 for Cleanliness & 4.5 /5 for Room & 4.5 /5 for Hospitality . Key amenities of this property are Doctor on Call & Restaurant & Room Service ."
Le Poshe by Sparsa,Kodaikanal,India,4.4,"4,476","Doctor on Call,Free Wi-Fi,Free Parking",Location of the Hotel is Near Kodaikanal Lake View On Map ( NEAR KURINJI ANDAVAR TEMPLE ). It’s a 5 Star Hotel with overall Rating 4.4 Out of 5 where 4.5 /5 for Cleanliness & 4.5 /5 for Food & 4.5 /5 for Hospitality . Top Facilities of this Hotel are Doctor on Call & Free Wi-Fi & Free Parking .
The Tamara Kodai,Kodaikanal,India,4.6,"11,280","Doctor on Call,Childcare Services,Free Wi-Fi","Full Address of property is #22, La Providence, St. Marys Road, Kodaikanal, Tamil Nadu 624101 (View On Map). This Hotel have 4.6 Out of 5 Rating where 4.7 /5 for Cleanliness & 4.8 /5 for Facilities & 4.7 /5 for Hospitality . Key amenities of this property are Doctor on Call & Childcare Services & Free Wi-Fi ."
StayApart The Sprout Villa,Kodaikanal,India,NIL,"6,002","Doctor on Call,Caretaker,Power Backup","Location of the Homestay is Anna Nagar View On Map ( Door No.6/148-1 Kallukuli, MM street, Kodaikanal, Tamil Nadu 624101 ). Top Facilities of this Homestay are Doctor on Call & Caretaker & Power Backup ."
Hotel Jai,Kodaikanal,India,4.2,"2,054","Doctor on Call,Free Wi-Fi,Free Parking","This 3 Star Hotel in Kodaikanal is located in Lloyd's Rd . Full Address of property is Lloyd's Rd, Kodaikanal, Tamil Nadu,624101 (View On Map). This Hotel have 4.2 Out of 5 Rating where 4.4 /5 for Cleanliness & 4.4 /5 for Room & 4.4 /5 for Value for Money . Key amenities of this property are Doctor on Call & Free Wi-Fi & Free Parking ."
Hotel Apple Valley,Kodaikanal,India,4.1,"4,700","Doctor on Call,Free Wi-Fi,Free Parking",Location of the Hotel is Near Kodaikanal Lake View On Map ( Anna Salai (Opp police station) ). It’s a 3 Star Hotel with overall Rating 4.1 Out of 5 where 4.4 /5 for Cleanliness & 4.5 /5 for Security & 4.4 /5 for Hospitality . Top Facilities of this Hotel are Doctor on Call & Free Wi-Fi & Free Parking .
Pearwoods,Kodaikanal,India,4.4,"3,948","Doctor on Call,Restaurant,Room Service","Full Address of property is Off MM Street, Building Society, Opp. Fathima Church, Kodaikanal - 624101 (View On Map). This Hotel have 4.4 Out of 5 Rating where 4.6 /5 for Cleanliness & 4.7 /5 for Room & 4.7 /5 for Hospitality . Key amenities of this property are Doctor on Call & Restaurant & Room Service ."
Sterling Kodai Valley,Kodaikanal,India,4.0,"3,063","Outdoor Sports,Restaurant,Conference Room",Top Facilities of this Resort are Outdoor Sports & Restaurant & Conference Room .
Hotel Cliffton,Kodaikanal,India,4.1,"4,700","Room Service,Power Backup,Lawn","Full Address of property is Bear Shola Road ,kodaikanal - 624101 (View On Map). This Hotel have 4.1 Out of 5 Rating where 4 /5 for Cleanliness & 4.3 /5 for Location & 4.3 /5 for Room . Key amenities of this property are Room Service & Power Backup & Lawn ."
Lillys Valley Resort,Kodaikanal,India,4.2,"2,843","Doctor on Call,Free Wi-Fi,Free Parking",Location of the Resort is Near Kodaikanal Lake View On Map ( 17/178 Sivanandi Road ). It’s a 3 Star Resort with overall Rating 4.2 Out of 5 where 4.2 /5 for Cleanliness & 4.1 /5 for Hospitality & 4.1 /5 for Room . Top Facilities of this Resort are Doctor on Call & Free Wi-Fi & Free Parking .
Saffronstays Kurinji Estate,Kodaikanal,India,4.1,"5,377","Caretaker,Living Room,Power Backup",This 4 Star Villa in Kodaikanal is located in Kurinji Nagar . Full Address of property is Kurinji Temple Road (View On Map). This Villa have 4.1 Out of 5 Rating where 4.4 /5 for Cleanliness & 5 /5 for Hospitality & 4.7 /5 for Room . Key amenities of this property are Caretaker & Living Room & Power Backup .
JC Woodville Manor,Kodaikanal,India,3.5,"1,019","Doctor on Call,Free Parking,Room Service","Location of the Hotel is Near Kodaikanal Lake View On Map ( Opp Bus stand, Woodville Road ). It’s a 1 Star Hotel with overall Rating 3.5 Out of 5 where 4.3 /5 for Location & 3.5 /5 for Value for Money & 3.5 /5 for Hospitality . Top Facilities of this Hotel are Doctor on Call & Free Parking & Room Service ."
Elephant Valley 15 Kms from Kodai,Kodaikanal,India,4.5,"5,247","Doctor on Call,Free Parking,Outdoor Sports","Full Address of property is Ganesh Puram, Pethupari (Via), Perumal Malai (View On Map). This Hotel have 4.5 Out of 5 Rating where 4.2 /5 for Cleanliness & 4.7 /5 for Location & 4.6 /5 for Room . Key amenities of this property are Doctor on Call & Free Parking & Outdoor Sports ."
Lakshmi Lands - The Royal Stay,Kodaikanal,India,3.7,"2,553","Doctor on Call,Caretaker,Living Room","Location of the Villa is Near Kodaikanal Lake View On Map ( 30 Malli Road, Kurunji Andavar Temple Road, Near Kodai Old Cheese Factory, Kodaikanal ). It’s a 3 Star Villa with overall Rating 3.7 Out of 5 where 4.1 /5 for Cleanliness & 4.1 /5 for Security & 4 /5 for Room . Top Facilities of this Villa are Doctor on Call & Caretaker & Living Room ."
Summit Swiss Heritage Hotel & Spa,Darjeeling,India,4.2,"3,045","Doctor on Call,Free Wi-Fi,Free Parking","This 4 Star Resort in Darjeeling is located in Near Darjeeling Train Station . Full Address of property is 15/A, Gandhi Road, Near Circuit House. (View On Map). This Resort have 4.2 Out of 5 Rating where 4.4 /5 for Security & 4.2 /5 for Cleanliness & 4.2 /5 for Location . Key amenities of this property are Doctor on Call & Free Wi-Fi & Free Parking ."
Bethlehem Homestay - Darjeeling,Darjeeling,India,4.3,821,"Caretaker,Living Room,Free Wi-Fi","Location of the Homestay is Bloomfield Tea Garden View On Map ( Below Russel Academy School, 38, Bloom Field, Dali, Darjeeling ). Top Facilities of this Homestay are Caretaker & Living Room & Free Wi-Fi ."
Sayang Homestay,Darjeeling,India,4.6,821,"Caretaker,Living Room,Power Backup","Full Address of property is 7'OAks Rose Bank Below Ava Art Gallery, J.B Thapa road , H.No.64, Nima Building ,darjeeling (View On Map). This Homestay have 4.6 Out of 5 Rating where 5 /5 for Caretaker & 4.8 /5 for Security & 4.8 /5 for Value for Money . Key amenities of this property are Caretaker & Living Room & Power Backup ."
numa khim,Darjeeling,India,4.4,"1,452","Doctor on Call,Caretaker,Power Backup",Location of the Homestay is Near Darjeeling Train Station View On Map ( 21 DB Giri Road/ Tanga Road ). Top Facilities of this Homestay are Doctor on Call & Caretaker & Power Backup .
Gladiolus Homestay,Darjeeling,India,3.9,616,"Living Room,Free Wi-Fi,","Full Address of property is 14/A2 , Gladiolus Homestay , Hooker Road Below RKSP school, Darjeeling (View On Map). This Homestay have 3.9 Out of 5 Rating where 5 /5 for Value for Money & 4.7 /5 for Room & 4.6 /5 for Cleanliness . Key amenities of this property are Living Room & Free Wi-Fi & Tours and Treks ."
Mayfair Hotel,Darjeeling,India,4.7,"7,191","Doctor on Call,Free Wi-Fi,Restaurant","Location of the Hotel is Near Mall Road View On Map ( The Mall, Opposite Governor House ). It’s a 4 Star Hotel with overall Rating 4.7 Out of 5 where 4.7 /5 for Child friendliness & 4.7 /5 for Cleanliness & 4.6 /5 for Hospitality . Top Facilities of this Hotel are Doctor on Call & Free Wi-Fi & Restaurant ."
Lizahill Villa,Darjeeling,India,4.1,"1,234","Doctor on Call,Kitchenette,Caretaker","Full Address of property is H.No. 17/1, 1st Floor, Near Tibeatean refugee center (TRC) near V V A School, Darjeeling (View On Map). This Villa have 4.1 Out of 5 Rating where 4.1 /5 for Cleanliness & 4 /5 for Security & 3.9 /5 for Facilities . Key amenities of this property are Doctor on Call & Kitchenette & Caretaker ."
Sinclairs Darjeeling,Darjeeling,India,4.3,"2,579","Doctor on Call,Restaurant,Conference Room","Location of the Hotel is Near Darjeeling Train Station View On Map ( 18/1, Gandhi Road ). It’s a 3 Star Hotel with overall Rating 4.3 Out of 5 where 4.5 /5 for Food & 4.4 /5 for Hospitality & 4.4 /5 for Cleanliness . Top Facilities of this Hotel are Doctor on Call & Restaurant & Conference Room ."
Serenity Home,Darjeeling,India,4.2,"1,142","Doctor on Call,Restaurant,Room Service","Full Address of property is B.K.Gongba Road, Below Golden Height (View On Map). This Guest House have 4.2 Out of 5 Rating where 4.2 /5 for Hospitality & 4.2 /5 for Cleanliness & 3.9 /5 for Facilities . Key amenities of this property are Doctor on Call & Restaurant & Room Service ."
Ging Tea House,Darjeeling,India,4.6,"6,288","Doctor on Call,Kitchenette,Caretaker","Location of the Villa is Lebong View On Map ( Ging Tea Estate, Lebong Valley ). It’s a 5 Star Villa with overall Rating 4.6 Out of 5 where 5 /5 for Child friendliness & 4.6 /5 for Hospitality & 4.6 /5 for Cleanliness . Top Facilities of this Villa are Doctor on Call & Kitchenette & Caretaker ."
Sumitel Suites & Spa by Sumi Yashshree,Darjeeling,India,4.4,"1,988","Doctor on Call,Free Wi-Fi,Restaurant","This 3 Star Hotel in Darjeeling is located in Near Darjeeling Train Station . Full Address of property is JP Sharma Road, Darjeeling ,Near Bigbazar (View On Map). This Hotel have 4.4 Out of 5 Rating where 4.7 /5 for Room & 4.5 /5 for Value for Money & 4.5 /5 for Facilities . Key amenities of this property are Doctor on Call & Free Wi-Fi & Restaurant ."
1 Bhk pradhan Cottage,Darjeeling,India,4.4,967,"Kitchenette,Caretaker,Living Room","Location of the Homestay is Near Mall Road View On Map ( 10, Convent Road, Near to DM Office, Darjeeling, West Bengal, 734101 ). Top Facilities of this Homestay are Kitchenette & Caretaker & Living Room ."
Hotel Sonar Bangla,Darjeeling,India,4.1,"1,817","Free Wi-Fi,Restaurant,Room Service","This 3 Star Hotel in Darjeeling is located in Near Darjeeling Bus Stand . Full Address of property is 1/1, Robertson Road, Darjeeling, West Bengal, India. (View On Map). This Hotel have 4.1 Out of 5 Rating where 4.4 /5 for Location & 4.4 /5 for Hospitality & 4.2 /5 for Security . Key amenities of this property are Free Wi-Fi & Restaurant & Room Service ."
Omega Residency,Darjeeling,India,4.0,"1,410","Doctor on Call,Free Wi-Fi,Restaurant","Location of the Hotel is Near Darjeeling Bus Stand View On Map ( Near mall road, Opp. Bank of India, Beside Hotel Mohit, H.D. Lama Road, Darjeeling ). It’s a 3 Star Hotel with overall Rating 4 Out of 5 where 4.3 /5 for Room & 4 /5 for Cleanliness & 3.9 /5 for Location . Top Facilities of this Hotel are Doctor on Call & Free Wi-Fi & Restaurant ."
Sumi Yashshree Suites & Spa By Sumi Yashshree,Darjeeling,India,4.3,"1,988","Doctor on Call,Free Wi-Fi,Free Parking","This 3 Star Hotel in Darjeeling is located in Near Darjeeling Bus Stand . Full Address of property is HD LAMA ROAD, NEAR BANK OF BARODA, DARJEELING (View On Map). This Hotel have 4.3 Out of 5 Rating where 4.5 /5 for Security & 4.4 /5 for Food & 4.4 /5 for Hospitality . Key amenities of this property are Doctor on Call & Free Wi-Fi & Free Parking ."
Beautiful View Homestay,Darjeeling,India,4.1,"1,532","Doctor on Call,Housekeeping,Bonfire","Location of the Homestay is West Point View On Map ( Near Taj Bakery, Dali Fatak, Hill Cart Road,Bloomfield Cess Road, Darjeeling. ). Top Facilities of this Homestay are Doctor on Call & Housekeeping & Bonfire ."
Little Tibet Resort,Darjeeling,India,4.3,"2,340","Free Parking,Indoor Games,24-hour Room Service","This 3 Star Resort in Darjeeling is located in Near Mall Road . Full Address of property is The Mall, Darjeeling (View On Map). This Resort have 4.3 Out of 5 Rating where 4.5 /5 for Location & 4.4 /5 for Security & 4.3 /5 for Cleanliness . Key amenities of this property are Free Parking & Indoor Games & 24-hour Room Service ."
Shangri-la Regency,Darjeeling,India,4.4,"1,397","Doctor on Call,Childcare Services,Indoor Games",Location of the Hotel is Near Darjeeling Train Station View On Map ( 21 Gandhi Road Opposite Bethany school Darjeeling ). It’s a 3 Star Hotel with overall Rating 4.4 Out of 5 where 4.5 /5 for Hospitality & 4.2 /5 for Security & 4.2 /5 for Cleanliness . Top Facilities of this Hotel are Doctor on Call & Childcare Services & Indoor Games .
NUMA Ghar Homestay,Darjeeling,India,4.0,"1,210","Kitchenette,Caretaker,Living Room","Full Address of property is 154/A, Lasha Villa, Hill Cart Road, Near to Ava Art Gallary, Darjeeling, West Bengal, 734101 (View On Map). This Homestay have 4 Out of 5 Rating where 4.2 /5 for Facilities & 4.1 /5 for Cleanliness & 4 /5 for Security . Key amenities of this property are Kitchenette & Caretaker & Living Room ."
Pahari Soul,Darjeeling,India,4.3,"1,210","Doctor on Call,Caretaker,Free Wi-Fi","Location of the Homestay is West Point View On Map ( 46 Hill Cart Road, Dali, Darjeeling ). Top Facilities of this Homestay are Doctor on Call & Caretaker & Free Wi-Fi ."
Hotel Shivalikview,Chandigarh,India,4.0,"2,834","Doctor on Call,Free Wi-Fi,Restaurant","This 4 Star Hotel in Chandigarh is located in Sector 17 . Full Address of property is Opp. Sampark, 17G, 17E, Sector 17, Chandigarh (View On Map). This Hotel have 4 Out of 5 Rating where 4.1 /5 for Cleanliness & 5 /5 for Security & 4.7 /5 for Location . Key amenities of this property are Doctor on Call & Free Wi-Fi & Restaurant ."
Glades Hotel,Chandigarh,India,4.0,"1,630","Doctor on Call,Restaurant,Conference Room","Location of the Hotel is Phase 1 View On Map ( SCO - 3 and 4, Phase 1, Sector 55, Mohali, Chandigarh ). It’s a 4 Star Hotel with overall Rating 4 Out of 5 where 4.4 /5 for Cleanliness & 4.2 /5 for Hospitality & 4.2 /5 for Safety . Top Facilities of this Hotel are Doctor on Call & Restaurant & Conference Room ."
"BEST HOMESTAY,CENTRALLY LOCATED,CHANDIGARH,INDIA",Chandigarh,India,2.4,517,"Kitchenette,Caretaker,Free Wi-Fi","Full Address of property is House NO-136,SECTOR-18 A, 2nd (Top Floor), (View On Map). This Homestay have 2.4 Out of 5 Rating where 2.9 /5 for Location & 2.4 /5 for Security & 2.3 /5 for Cleanliness . Key amenities of this property are Kitchenette & Caretaker & Free Wi-Fi ."
"The Lalit, Chandigarh",Chandigarh,India,4.3,"5,265","Free Wi-Fi,Free Parking,Restaurant","Location of the Hotel is In Panchkula View On Map ( The LaLiT Chandigarh, Rajiv Gandhi Information Technology Park, ). It’s a 5 Star Hotel with overall Rating 4.3 Out of 5 where 4.5 /5 for Cleanliness & 4.4 /5 for Room & 4.4 /5 for Hospitality . Top Facilities of this Hotel are Free Wi-Fi & Free Parking & Restaurant ."
Ramada Plaza Chandigarh,Chandigarh,India,4.0,"4,145","Doctor on Call,Childcare Services,Free Wi-Fi","This 5 Star Resort in Zirakpur is located in In Zirakpur . Full Address of property is NH 21 , Chandigarh Delhi National Highway, Zirakpur (Pb) (View On Map). This Resort have 4 Out of 5 Rating where 4.3 /5 for Cleanliness & 4.8 /5 for Security & 4.2 /5 for Hospitality . Key amenities of this property are Doctor on Call & Childcare Services & Free Wi-Fi ."
Hotel Mountview,Chandigarh,India,4.0,"3,760","Doctor on Call,Free Parking,Restaurant","Location of the Hotel is Sector 10 View On Map ( Sector 10, Chandigarh ). It’s a 5 Star Hotel with overall Rating 4 Out of 5 where 4 /5 for Cleanliness & 5 /5 for Security & 4.4 /5 for Location . Top Facilities of this Hotel are Doctor on Call & Free Parking & Restaurant ."
James Hotel,Chandigarh,India,4.1,"3,707","Doctor on Call,Free Wi-Fi,Free Parking","This 5 Star Hotel in Chandigarh is located in Sector 17 . Full Address of property is Block Number 10, Sector 17-A, Chandigarh (View On Map). This Hotel have 4.1 Out of 5 Rating where 4.3 /5 for Cleanliness & 4.6 /5 for Location & 4.4 /5 for Safety . Key amenities of this property are Doctor on Call & Free Wi-Fi & Free Parking ."
Hotel Sapphire,Chandigarh,India,3.9,"1,873","Doctor on Call,Free Wi-Fi,Free Parking","Location of the Hotel is In Zirakpur View On Map ( Chandigarh Delhi Highway, NH 21, Near Airport and Railway Station and Big Bazaar, Zirakpur ). It’s a 4 Star Hotel with overall Rating 3.9 Out of 5 where 3.8 /5 for Cleanliness & 4 /5 for Security & 4 /5 for Location . Top Facilities of this Hotel are Doctor on Call & Free Wi-Fi & Free Parking ."
Royal Park Resorts,Chandigarh,India,3.6,"2,008","Doctor on Call,Free Wi-Fi,Free Parking","This 4 Star Hotel in Zirakpur is located in In Zirakpur . Full Address of property is Ambala Chandigarh Highway, Zirakpur, Chandigarh. Near Chandigarh Airport and railway station (View On Map). This Hotel have 3.6 Out of 5 Rating where 4.3 /5 for Location & 3.8 /5 for Value for Money & 3.7 /5 for Room . Key amenities of this property are Doctor on Call & Free Wi-Fi & Free Parking ."
Hotel Sun Park,Chandigarh,India,4.1,"3,320","Doctor on Call,Free Parking,Restaurant","Location of the Hotel is In Zirakpur View On Map ( Zirakpur Shimla Highway, Near Airport Railway Station and Paras Down Town Mall, Zirakpur, Chandigarh ). It’s a 3 Star Hotel with overall Rating 4.1 Out of 5 where 4 /5 for Cleanliness & 4.1 /5 for Safety & 4 /5 for Room . Top Facilities of this Hotel are Doctor on Call & Free Parking & Restaurant ."
Hotel Kailash Palace,Chandigarh,India,4.2,972,"Doctor on Call,Free Wi-Fi,24-hour Room Service","Full Address of property is S.C.O.2431-32, Dakshin Marg, 22C, Sector 22 (View On Map). This Guest House have 4.2 Out of 5 Rating where 4.1 /5 for Cleanliness & 4.2 /5 for Hospitality & 4.2 /5 for Room . Key amenities of this property are Doctor on Call & Free Wi-Fi & 24-hour Room Service ."
HOTEL CITY HEART PREMIUM,Chandigarh,India,3.6,"1,283","Doctor on Call,Free Wi-Fi,Restaurant",Location of the Hotel is Sector 17 View On Map ( Sco -202-03-04 Bridge Road Sector -17-C Chandigarh ). It’s a 3 Star Hotel with overall Rating 3.6 Out of 5 where 4.2 /5 for Location & 3.9 /5 for Hospitality & 3.8 /5 for Value for Money . Top Facilities of this Hotel are Doctor on Call & Free Wi-Fi & Restaurant .
Piccadily,Chandigarh,India,4.0,"4,606","Restaurant,Conference Room,Room Service","This 4 Star Hotel in Chandigarh is located in Sector 22 . Full Address of property is Sco 1078-1085 Himalaya Marg, Sector 22 B, Chandigarh (View On Map). This Hotel have 4 Out of 5 Rating where 4.1 /5 for Cleanliness & 4.4 /5 for Location & 4.1 /5 for Room . Key amenities of this property are Restaurant & Conference Room & Room Service ."
HOTEL GRANDVIEW JAIN,Chandigarh,India,4.0,"1,361","Doctor on Call,Free Wi-Fi,Free Parking","Location of the Hotel is Sector 22 View On Map ( SCO 3037-3038, Opp Kisan Bhawan, Sector 22 D, Chandigarh ). It’s a 3 Star Hotel with overall Rating 4 Out of 5 where 3.9 /5 for Cleanliness & 4.4 /5 for Location & 4.1 /5 for Hospitality . Top Facilities of this Hotel are Doctor on Call & Free Wi-Fi & Free Parking ."
Hotel Sky,Chandigarh,India,4.1,"2,042","Doctor on Call,Free Wi-Fi,Free Parking","This 3 Star Hotel in Chandigarh is located in Industrial Area Phase II . Full Address of property is Plot No 166, Phase 2, Industrial Area, Chandigarh (View On Map). This Hotel have 4.1 Out of 5 Rating where 4.2 /5 for Cleanliness & 4.2 /5 for Location & 4.2 /5 for Hospitality . Key amenities of this property are Doctor on Call & Free Wi-Fi & Free Parking ."
HOTEL SUNVIEW JAIN,Chandigarh,India,3.8,"1,516","Doctor on Call,Free Wi-Fi,Room Service","Location of the Hotel is Sector 35 View On Map ( S.C.O. 361-362, Sec 35-B, Main Hotel Market Road, Chandigarh ). It’s a 3 Star Hotel with overall Rating 3.8 Out of 5 where 3.9 /5 for Cleanliness & 5 /5 for Safety & 4.3 /5 for Location . Top Facilities of this Hotel are Doctor on Call & Free Wi-Fi & Room Service ."
Hotel Oyster - City Centre Sector 17,Chandigarh,India,3.9,"2,077","Doctor on Call,Restaurant,Conference Room","This 4 Star Hotel in Chandigarh is located in Sector 17 . Full Address of property is Sco - 1-2-3 Sector 17 - A, Chandigarh (View On Map). This Hotel have 3.9 Out of 5 Rating where 4.1 /5 for Cleanliness & 5 /5 for Safety & 4.4 /5 for Location . Key amenities of this property are Doctor on Call & Restaurant & Conference Room ."
Hometel Chandigarh - A Sarovar Hotel,Chandigarh,India,3.9,"2,612","Doctor on Call,Free Wi-Fi,Restaurant","Location of the Hotel is Industrial Area Phase I View On Map ( Plot No.147-148, Industrial Area Phase I, Near ELANTE MALL, Chandigarh ). It’s a 4 Star Hotel with overall Rating 3.9 Out of 5 where 4.1 /5 for Cleanliness & 4.5 /5 for Security & 4.3 /5 for Safety . Top Facilities of this Hotel are Doctor on Call & Free Wi-Fi & Restaurant ."
Hotel Rajshree & Spa,Chandigarh,India,3.6,"1,889","Doctor on Call,Free Wi-Fi,Free Parking","This 3 Star Hotel in Chandigarh is located in Industrial Area . Full Address of property is Plot No 181/45, Industrial Area Phase 1, Near Tribune Chowk /Elante Mall, Chandigarh (View On Map). This Hotel have 3.6 Out of 5 Rating where 4.1 /5 for Location & 3.9 /5 for Room & 3.8 /5 for Facilities . Key amenities of this property are Doctor on Call & Free Wi-Fi & Free Parking ."
Hotel Orbit 34,Chandigarh,India,3.8,"1,433","Free Wi-Fi,Restaurant,Conference Room","Location of the Hotel is Sector 34 View On Map ( SCO 356-357, Sector 34 A, Near Picaddly Square, City Sub Centre, Chandigarh ). It’s a 3 Star Hotel with overall Rating 3.8 Out of 5 where 3.8 /5 for Cleanliness & 4.3 /5 for Safety & 4 /5 for Location . Top Facilities of this Hotel are Free Wi-Fi & Restaurant & Conference Room ."
Hotel Carrefour,Ahmedabad,India,4.3,"1,409","Doctor on Call,Free Wi-Fi,Free Parking","This 3 Star Hotel in Ahmedabad is located in Near Nehru Bridge . Full Address of property is Nr. Nagri Hospital,Gujarat College Road,Ellisbridge,Ahmedabad (View On Map). This Hotel have 4.3 Out of 5 Rating where 4.4 /5 for Cleanliness & 4.4 /5 for Room & 4.3 /5 for Value for Money . Key amenities of this property are Doctor on Call & Free Wi-Fi & Free Parking ."
Regenta Central Antarim,Ahmedabad,India,4.2,"2,129","Doctor on Call,Free Wi-Fi,Free Parking","Location of the Hotel is Navrangpura View On Map ( Regenta Central Antarim Between Girish Coldrink and Xaviers Corner, Off CG road, Ahmedabad. 380009 ). It’s a 4 Star Hotel with overall Rating 4.2 Out of 5 where 4.5 /5 for Cleanliness & 4.5 /5 for Location & 4.5 /5 for Room . Top Facilities of this Hotel are Doctor on Call & Free Wi-Fi & Free Parking ."
The Fern An Ecotel Hotel,Ahmedabad,India,4.3,"2,712","Doctor on Call,Childcare Services,Free Wi-Fi","This 5 Star Hotel in Ahmedabad is located in Sarkhej Gandhinagar highway . Full Address of property is Nr. Sola Overbridge,S.G. Highway (View On Map). This Hotel have 4.3 Out of 5 Rating where 4.5 /5 for Cleanliness & 4.8 /5 for Security & 4.5 /5 for Room . Key amenities of this property are Doctor on Call & Childcare Services & Free Wi-Fi ."
Ramada Ahmedabad,Ahmedabad,India,4.1,"3,046","Doctor on Call,Free Wi-Fi,Free Parking","Location of the Hotel is Prahlad Nagar View On Map ( Opp Prahlad Nagar Garden, S.G. Highway, Ahmedabad ). It’s a 4 Star Hotel with overall Rating 4.1 Out of 5 where 4.1 /5 for Cleanliness & 4.3 /5 for Location & 4.3 /5 for Child friendliness . Top Facilities of this Hotel are Doctor on Call & Free Wi-Fi & Free Parking ."
Hotel Silver Heights,Ahmedabad,India,4.2,"1,760","Doctor on Call,Free Wi-Fi,Free Parking","This 3 Star Hotel in Ahmedabad is located in Near Nehru Bridge . Full Address of property is Near Passport Office, Mithakali Six Road, Navrangpura (View On Map). This Hotel have 4.2 Out of 5 Rating where 4.4 /5 for Cleanliness & 4.4 /5 for Location & 4.4 /5 for Hospitality . Key amenities of this property are Doctor on Call & Free Wi-Fi & Free Parking ."
"Fortune Landmark, Ahmedabad-Member ITC Hotel Group",Ahmedabad,India,4.4,"3,044","Doctor on Call,Childcare Services,Free Wi-Fi","Location of the Hotel is Usmanpura View On Map ( Usmanpura Four Cross Road, Ashram Road, Ahmedabad ). It’s a 5 Star Hotel with overall Rating 4.4 Out of 5 where 4.6 /5 for Cleanliness & 4.6 /5 for Hospitality & 4.6 /5 for Location . Top Facilities of this Hotel are Doctor on Call & Childcare Services & Free Wi-Fi ."
